seed,image_id,class_name,grad_cam_deletion_auc,eigen_cam_deletion_auc,random_deletion_auc
44,img_0029,person,0.2066,0.1834,0.4352
44,img_0030,person,0.2231,0.177,0.4569
44,img_0031,person,0.1525,0.173,0.4986
44,img_0032,person,0.2396,0.1459,0.5059
44,img_0033,person,0.2385,0.1849,0.5222
44,img_0034,person,0.2035,0.1837,0.4647
44,img_0035,person,0.1617,0.1962,0.409
44,img_0036,person,0.235,0.1478,0.4304
44,img_0037,person,0.2202,0.1843,0.5474
44,img_0038,person,0.2029,0.1589,0.4063
44,img_0039,person,0.193,0.172,0.475
44,img_0040,person,0.1808,0.1904,0.4171
44,img_0041,person,0.1543,0.1406,0.548
44,img_0042,person,0.2354,0.1941,0.4011
44,img_0043,person,0.1704,0.172,0.4763
44,img_0044,person,0.2341,0.1911,0.5131
44,img_0045,person,0.1685,0.1444,0.4219
44,img_0046,person,0.1594,0.1296,0.4114
44,img_0047,person,0.1882,0.1857,0.5413
44,img_0048,person,0.1757,0.1456,0.4628
44,img_0049,person,0.1965,0.1581,0.5467
44,img_0050,person,0.2273,0.1841,0.4144
44,img_0051,person,0.243,0.1812,0.5035
44,img_0052,person,0.2457,0.1443,0.5087
44,img_0053,person,0.2499,0.172,0.4062
44,img_0054,person,0.2455,0.133,0.5481
44,img_0055,person,0.1578,0.1927,0.4545
44,img_0056,person,0.2175,0.1754,0.5118
44,img_0057,person,0.2049,0.1657,0.4862
44,img_0058,person,0.1664,0.1749,0.5188
44,img_0059,person,0.2374,0.1276,0.4809
44,img_0060,person,0.2079,0.174,0.5053
44,img_0061,person,0.1758,0.1274,0.4398
44,img_0062,person,0.2157,0.1997,0.4651
44,img_0063,person,0.1771,0.1927,0.5283
44,img_0064,person,0.1759,0.1556,0.4859
44,img_0065,person,0.1759,0.1796,0.4886
44,img_0066,person,0.1653,0.1295,0.406
44,img_0067,person,0.1798,0.1432,0.4312
44,img_0068,person,0.2472,0.166,0.4002
44,img_0069,person,0.2096,0.1616,0.4555
44,img_0070,person,0.1901,0.174,0.4324
44,img_0071,person,0.2183,0.1938,0.4355
44,img_0072,person,0.2456,0.1395,0.4579
44,img_0073,person,0.1558,0.1793,0.5194
44,img_0074,person,0.1758,0.1475,0.4043
44,img_0075,person,0.1729,0.1493,0.4059
44,img_0076,person,0.181,0.1825,0.537
44,img_0077,person,0.2399,0.1445,0.414
44,img_0078,person,0.217,0.1446,0.4577
44,img_0079,person,0.1935,0.1324,0.4063
44,img_0080,person,0.2106,0.1237,0.5222
44,img_0081,person,0.1623,0.1641,0.52
44,img_0082,person,0.1545,0.1962,0.4963
44,img_0083,person,0.2388,0.1833,0.4121
44,img_0084,person,0.1728,0.1398,0.4216
44,img_0085,person,0.1816,0.123,0.4063
44,img_0086,person,0.1638,0.1734,0.5329
44,img_0087,person,0.234,0.1502,0.5373
44,img_0088,person,0.1711,0.1395,0.5388
44,img_0089,person,0.1723,0.1412,0.4517
44,img_0090,person,0.1509,0.1861,0.5193
44,img_0091,person,0.1561,0.1861,0.4894
44,img_0092,person,0.1883,0.1847,0.4647
44,img_0093,person,0.1879,0.1265,0.5025
44,img_0094,person,0.2058,0.1543,0.486
44,img_0095,person,0.233,0.138,0.4473
44,img_0096,person,0.1811,0.1846,0.4741
44,img_0097,person,0.2416,0.1583,0.4116
44,img_0098,person,0.1749,0.1259,0.4827
44,img_0099,person,0.2451,0.1496,0.4194
45,img_0000,person,0.246,0.159,0.4733
45,img_0001,person,0.1514,0.1754,0.4618
45,img_0002,person,0.2374,0.1721,0.5429
45,img_0003,person,0.201,0.1917,0.5029
45,img_0004,person,0.2074,0.187,0.4466
45,img_0005,person,0.1874,0.1899,0.4546
45,img_0006,person,0.1526,0.1999,0.4518
45,img_0007,person,0.2246,0.1479,0.4418
45,img_0008,person,0.1927,0.1363,0.4372
45,img_0009,person,0.1526,0.1589,0.4631
45,img_0010,person,0.2242,0.1244,0.5118
45,img_0011,person,0.2002,0.1307,0.4507
45,img_0012,person,0.1581,0.1584,0.4086
45,img_0013,person,0.2263,0.1773,0.4719
45,img_0014,person,0.2494,0.1788,0.5301
45,img_0015,person,0.2304,0.1221,0.5387
45,img_0016,person,0.2444,0.142,0.5309
45,img_0017,person,0.2145,0.1982,0.4417
45,img_0018,person,0.2039,0.1306,0.4539
45,img_0019,person,0.2024,0.1409,0.4617
45,img_0020,person,0.2375,0.1731,0.4106
45,img_0021,person,0.2135,0.1992,0.5182
45,img_0022,person,0.2356,0.1221,0.4023
45,img_0023,person,0.1544,0.1767,0.4084
45,img_0024,person,0.1665,0.1583,0.42
45,img_0025,person,0.2309,0.1261,0.4384
45,img_0026,person,0.249,0.1609,0.4083
45,img_0027,person,0.2044,0.1325,0.4921
45,img_0028,person,0.1855,0.1861,0.4954
45,img_0029,person,0.2009,0.1277,0.5458
45,img_0030,person,0.1708,0.197,0.423
45,img_0031,person,0.1521,0.187,0.4031
45,img_0032,person,0.1596,0.1712,0.4728
45,img_0033,person,0.21,0.1929,0.4868
45,img_0034,person,0.2146,0.1474,0.4658
45,img_0035,person,0.2312,0.1629,0.4909
45,img_0036,person,0.1512,0.1663,0.4149
45,img_0037,person,0.1847,0.1452,0.5097
45,img_0038,person,0.2282,0.1769,0.4373
45,img_0039,person,0.1716,0.1966,0.4249
45,img_0040,person,0.1783,0.1686,0.5122
45,img_0041,person,0.235,0.1783,0.5266
45,img_0042,person,0.214,0.1533,0.4787
45,img_0043,person,0.2385,0.182,0.465
45,img_0044,person,0.1847,0.1359,0.5402
45,img_0045,person,0.172,0.1921,0.5045
45,img_0046,person,0.2058,0.1789,0.4317
45,img_0047,person,0.2488,0.1229,0.4389
45,img_0048,person,0.227,0.1635,0.5071
45,img_0049,person,0.23,0.1782,0.5158
45,img_0050,person,0.2128,0.1632,0.5117
45,img_0051,person,0.2196,0.1558,0.4262
45,img_0052,person,0.2489,0.1497,0.4631
45,img_0053,person,0.188,0.1215,0.4505
45,img_0054,person,0.1799,0.1605,0.5478
45,img_0055,person,0.2488,0.173,0.4904
45,img_0056,person,0.2358,0.1786,0.4971
45,img_0057,person,0.2021,0.1613,0.5064
45,img_0058,person,0.2205,0.1752,0.4195
45,img_0059,person,0.2168,0.1502,0.4638
45,img_0060,person,0.2371,0.1564,0.4616
45,img_0061,person,0.2471,0.1259,0.4402
45,img_0062,person,0.1529,0.1994,0.4983
45,img_0063,person,0.2008,0.1905,0.5414
45,img_0064,person,0.186,0.1667,0.4979
45,img_0065,person,0.2154,0.1989,0.4989
45,img_0066,person,0.1755,0.1922,0.507
45,img_0067,person,0.1669,0.1751,0.5472
45,img_0068,person,0.2478,0.1467,0.4991
45,img_0069,person,0.2468,0.1412,0.4839
45,img_0070,person,0.1818,0.1288,0.5072
45,img_0071,person,0.2123,0.1663,0.4771
45,img_0072,person,0.1807,0.1265,0.4281
45,img_0073,person,0.1941,0.1366,0.4373
45,img_0074,person,0.2272,0.1996,0.4658
45,img_0075,person,0.1622,0.1695,0.4013
45,img_0076,person,0.2339,0.1578,0.4536
45,img_0077,person,0.2065,0.1725,0.403
45,img_0078,person,0.2392,0.1842,0.461
45,img_0079,person,0.161,0.1764,0.4656
45,img_0080,person,0.1767,0.128,0.4555
45,img_0081,person,0.1738,0.1633,0.4042
45,img_0082,person,0.2454,0.1288,0.4501
45,img_0083,person,0.1583,0.1302,0.434
45,img_0084,person,0.1756,0.1525,0.4413
45,img_0085,person,0.2156,0.1653,0.5075
45,img_0086,person,0.2235,0.1729,0.48
45,img_0087,person,0.207,0.1696,0.4996
45,img_0088,person,0.2355,0.1278,0.5245
45,img_0089,person,0.2252,0.124,0.4967
45,img_0090,person,0.2461,0.1762,0.484
45,img_0091,person,0.1675,0.1926,0.4797
45,img_0092,person,0.2089,0.1871,0.5055
45,img_0093,person,0.192,0.1425,0.4357
45,img_0094,person,0.2165,0.1517,0.4055
45,img_0095,person,0.222,0.1916,0.448
45,img_0096,person,0.2403,0.1413,0.43
45,img_0097,person,0.2205,0.1979,0.5023
45,img_0098,person,0.2085,0.136,0.5275
45,img_0099,person,0.1519,0.1551,0.4427
46,img_0000,person,0.2475,0.164,0.549
46,img_0001,person,0.1634,0.1398,0.482
46,img_0002,person,0.1657,0.1387,0.5017
46,img_0003,person,0.2115,0.197,0.4464
46,img_0004,person,0.1577,0.1302,0.5337
46,img_0005,person,0.189,0.1302,0.4392
46,img_0006,person,0.24,0.1659,0.5074
46,img_0007,person,0.1515,0.1322,0.4012
46,img_0008,person,0.2282,0.1354,0.4141
46,img_0009,person,0.1954,0.1499,0.5112
46,img_0010,person,0.1839,0.19,0.4175
46,img_0011,person,0.1833,0.1808,0.4628
46,img_0012,person,0.2192,0.1923,0.5292
46,img_0013,person,0.1557,0.1745,0.471
46,img_0014,person,0.177,0.1902,0.4768
46,img_0015,person,0.2192,0.1705,0.4166
46,img_0016,person,0.2398,0.1401,0.4123
46,img_0017,person,0.1641,0.1723,0.4235
46,img_0018,person,0.1761,0.177,0.5234
46,img_0019,person,0.23,0.1636,0.5153
46,img_0020,person,0.2425,0.1561,0.4231
46,img_0021,person,0.1636,0.1566,0.4994
46,img_0022,person,0.1874,0.1227,0.5007
46,img_0023,person,0.191,0.1571,0.4664
46,img_0024,person,0.2479,0.1724,0.4764
46,img_0025,person,0.1814,0.1972,0.4903
46,img_0026,person,0.1912,0.1576,0.5409
46,img_0027,person,0.2113,0.1576,0.4684
46,img_0028,person,0.2205,0.1749,0.5248
46,img_0029,person,0.1548,0.1501,0.4819
46,img_0030,person,0.1554,0.1472,0.5478
46,img_0031,person,0.2064,0.1405,0.4145
46,img_0032,person,0.1714,0.1586,0.4581
46,img_0033,person,0.1509,0.1397,0.4556
46,img_0034,person,0.1564,0.1782,0.5126
46,img_0035,person,0.2155,0.1742,0.5072
46,img_0036,person,0.1952,0.1787,0.5098
46,img_0037,person,0.2219,0.1525,0.4205
46,img_0038,person,0.2258,0.1311,0.4449
46,img_0039,person,0.2472,0.1559,0.5254
46,img_0040,person,0.2175,0.1301,0.4072
46,img_0041,person,0.176,0.1516,0.5091
46,img_0042,person,0.1955,0.1847,0.4712
46,img_0043,person,0.2188,0.1747,0.4106
46,img_0044,person,0.2287,0.1926,0.5191
46,img_0045,person,0.1646,0.1713,0.4366
46,img_0046,person,0.2365,0.138,0.4035
46,img_0047,person,0.212,0.1237,0.4668
46,img_0048,person,0.2207,0.163,0.422
46,img_0049,person,0.2046,0.1875,0.4437
46,img_0050,person,0.2252,0.1843,0.5175
46,img_0051,person,0.1637,0.1205,0.4929
46,img_0052,person,0.1936,0.1648,0.4198
46,img_0053,person,0.2117,0.1857,0.4214
46,img_0054,person,0.1618,0.1595,0.4917
46,img_0055,person,0.1776,0.1504,0.5093
46,img_0056,person,0.2276,0.1414,0.5375
46,img_0057,person,0.1856,0.1466,0.4226
46,img_0058,person,0.1634,0.1887,0.4739
46,img_0059,person,0.1716,0.1527,0.407
46,img_0060,person,0.151,0.1423,0.4029
46,img_0061,person,0.2209,0.1418,0.4868
46,img_0062,person,0.2431,0.1735,0.5346
46,img_0063,person,0.212,0.171,0.4006
46,img_0064,person,0.1712,0.1529,0.4648
46,img_0065,person,0.1537,0.1377,0.4649
46,img_0066,person,0.225,0.1205,0.4147
46,img_0067,person,0.1763,0.1677,0.4229
46,img_0068,person,0.1585,0.1556,0.4537
46,img_0069,person,0.1747,0.1862,0.5253
46,img_0070,person,0.2495,0.1567,0.4765
46,img_0071,person,0.1651,0.1664,0.4061
46,img_0072,person,0.2031,0.1905,0.5018
46,img_0073,person,0.2108,0.1871,0.4163
46,img_0074,person,0.2357,0.1735,0.4491
46,img_0075,person,0.2421,0.1553,0.5126
46,img_0076,person,0.2043,0.1638,0.4188
46,img_0077,person,0.1789,0.1858,0.4058
46,img_0078,person,0.224,0.1678,0.415
46,img_0079,person,0.1631,0.1758,0.4476
46,img_0080,person,0.2123,0.1644,0.5053
46,img_0081,person,0.2062,0.1363,0.4866
46,img_0082,person,0.2337,0.1954,0.5405
46,img_0083,person,0.1717,0.1284,0.4139
46,img_0084,person,0.1913,0.1205,0.4611
46,img_0085,person,0.2379,0.1618,0.5175
46,img_0086,person,0.1549,0.1951,0.4498
46,img_0087,person,0.1638,0.1433,0.4081
46,img_0088,person,0.2204,0.1525,0.4225
46,img_0089,person,0.1818,0.1685,0.5093
46,img_0090,person,0.1564,0.1206,0.443
46,img_0091,person,0.1853,0.1655,0.5204
46,img_0092,person,0.1833,0.1899,0.4952
46,img_0093,person,0.2308,0.1669,0.4781
46,img_0094,person,0.2156,0.1748,0.4849
46,img_0095,person,0.153,0.1565,0.4489
46,img_0096,person,0.1652,0.1997,0.5435
46,img_0097,person,0.1949,0.1539,0.5253
46,img_0098,person,0.1554,0.1658,0.5475
46,img_0099,person,0.2014,0.1639,0.4819
